,ells,cls0,cls1,cls_dep,cls_rew,cls0 unc,cls1 unc,cls_dep unc,cls_rew unc
0,2.5,4.6704167060707175e-06,0.01639417492711408,3.818284168514486e-06,6.689035105224858e-06,1.1162636151965217e-06,8.513856420003697e-05,1.0090740100968194e-06,1.1253656921513797e-06
1,5.5,6.2905043666139415e-06,0.001873496211369129,6.3332093827247385e-06,7.460098653827498e-06,9.065382730957934e-07,1.4036975164451978e-05,8.976193588439683e-07,1.0012929086679646e-06
2,11.5,1.0055000444470442e-05,0.00018147702776785769,1.0049858391745896e-05,1.1308630369289778e-05,4.56284681946649e-07,3.6136779676070757e-06,4.5153154686485994e-07,5.175068943861353e-07
3,23.5,9.058086559572763e-06,4.3810489761928335e-05,9.053690356272785e-06,1.0266805370921374e-05,2.724649991775424e-07,5.849737517381432e-07,2.7092110821045364e-07,3.2511505254036677e-07
4,47.5,5.916099849095079e-06,9.615714301474149e-06,5.916264750369571e-06,6.671243383417932e-06,1.0058672680713714e-07,1.4865291229328818e-07,1.0054911679778175e-07,1.0894274579657174e-07
5,95.5,3.1490177990402948e-06,3.6520030254376596e-06,3.149014514633361e-06,3.6011105282764552e-06,2.711484370711366e-08,2.788837311375017e-08,2.7116715909031083e-08,4.1088362698644296e-08
6,191.5,1.2928421412584848e-06,1.365659928842871e-06,1.2928384434558286e-06,1.4897325292758918e-06,3.2370140072259316e-09,3.416337483536684e-09,3.2395232990708626e-09,6.221555649325369e-09
7,383.5,5.37373516842407e-07,5.545739559525094e-07,5.373734424098978e-07,6.218626301300806e-07,1.021190428773612e-09,1.036696630998872e-09,1.0220635895995554e-09,1.4855165213997328e-09
8,767.5,2.729005298156813e-07,2.750920804546789e-07,2.729008389751496e-07,3.159017877811098e-07,2.139360898230779e-10,2.1060977548011568e-10,2.1397831030198148e-10,3.047903109407029e-10
9,1535.5,1.7509418419620017e-07,1.7545827452377322e-07,1.7509424339825898e-07,2.025223981597868e-07,4.178226792106959e-11,3.9058814760251755e-11,4.176941379675955e-11,4.635500047631194e-11
10,2559.5,1.3363297831679298e-07,1.3371914503747724e-07,1.3363298376342689e-07,1.5376880253706347e-07,5.2167718076899175e-11,5.1235329258100256e-11,5.216641535065296e-11,6.207303114438064e-11
